Datum,Teplota,Vitr,Dest
2026-03-30 19:00:00+00:00,4.2848487,13.863949,0.2
2026-03-30 20:00:00+00:00,4.028788,12.546732,0.0
2026-03-30 21:00:00+00:00,3.7757576,12.00107,0.0
2026-03-30 22:00:00+00:00,3.4196968,10.863969,0.0
2026-03-30 23:00:00+00:00,3.0136364,9.058513,0.0
2026-03-31 00:00:00+00:00,2.5075758,7.4772396,0.0
2026-03-31 01:00:00+00:00,2.151515,6.9670653,0.0
2026-03-31 02:00:00+00:00,1.8954545,6.469395,0.0
2026-03-31 03:00:00+00:00,1.739394,6.0426927,0.0
2026-03-31 04:00:00+00:00,1.6333332,5.4747925,0.0
2026-03-31 05:00:00+00:00,1.4272727,5.2726445,0.0
2026-03-31 06:00:00+00:00,1.3242424,5.4087257,0.0
2026-03-31 07:00:00+00:00,1.5272727,4.705626,0.0
2026-03-31 08:00:00+00:00,2.4454544,2.0838468,0.0
2026-03-31 09:00:00+00:00,3.7696967,1.8914472,0.0
2026-03-31 10:00:00+00:00,4.9969697,4.6660533,0.0
2026-03-31 11:00:00+00:00,5.921212,5.123223,0.0
2026-03-31 12:00:00+00:00,6.692424,5.1011734,0.0
2026-03-31 13:00:00+00:00,7.363636,5.835012,0.0
2026-03-31 14:00:00+00:00,8.031818,7.4709682,0.0
2026-03-31 15:00:00+00:00,8.65,9.545606,0.0
2026-03-31 16:00:00+00:00,8.806061,11.13565,0.0
2026-03-31 17:00:00+00:00,8.34697,12.234379,0.0
2026-03-31 18:00:00+00:00,7.4787874,13.044592,0.0
2026-03-31 19:00:00+00:00,6.7136364,13.412232,0.0
2026-03-31 20:00:00+00:00,6.101515,12.731623,0.0
2026-03-31 21:00:00+00:00,5.542424,11.390691,0.0
2026-03-31 22:00:00+00:00,5.080303,10.721801,0.0
2026-03-31 23:00:00+00:00,4.768182,11.314864,0.0
